streams,time(ms),damping_factor,threshold,epochs,K,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over
12,60.5221,0.3,0.8,30,100,0.67338260605447,0.8781006378454996,787108.286659,787108.286659,1.0,0.1,0.8721271641186595,0.6596132428875164,0.0,0.0
12,61.1392,0.3,0.8,30,100,0.6728763794674496,0.8775944112584793,237825.144542,237825.144542,1.0,0.2,0.8721271641186595,0.6606256960615572,0.01,0.01
12,60.6878,0.3,0.8,30,100,0.6668016604232054,0.8779993925280956,128271.301217,128271.301217,1.0,0.3,0.8721271641186595,0.6732813607370659,0.01,0.01
12,60.5964,0.3,0.8,30,100,0.6707502278019641,0.8774931659410752,86329.511573,86329.511573,1.0,0.4,0.8721271641186595,0.6671053963754177,0.01,0.01
12,60.9833,0.3,0.8,30,100,0.679052343829098,0.8760757314974182,47362.343151,47362.343151,1.0,0.5,0.8721271641186595,0.666194188518781,0.01,0.01
12,60.8246,0.3,0.8,30,100,0.6710539637541764,0.8758732408626101,39548.781762,39548.781762,1.0,0.6,0.8721271641186595,0.6558671661435659,0.01,0.01
12,60.7417,0.3,0.8,30,100,0.6737875873240863,0.8763794674496305,33570.373534,33570.373534,1.0,0.7,0.8721271641186595,0.6653842259795485,0.02,0.02
12,60.9374,0.3,0.8,30,100,0.6721676622456212,0.8741520704667409,30049.059485,30049.059485,1.0,0.8,0.8721271641186595,0.6608281866963653,0.04,0.04
12,60.921,0.3,0.8,30,100,0.6753062670851473,0.8754682595929938,27848.578493,27848.578493,1.0,0.9,0.8721271641186595,0.6710539637541764,0.03,0.03
