streams,time(ms),damping_factor,threshold,epochs,K,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over
12,53.8352,0.3,0.8,30,100,0.975,0.0245,575674.467585,763207.164599,1.0,0.1,1.0,1.0,0.01,0.01
12,54.2581,0.3,0.8,30,100,0.9755,0.02425,166649.648474,150424.853735,1.0,0.2,1.0,1.0,0.04,0.03
12,54.0867,0.3,0.8,30,100,0.97575,0.98025,87521.779143,80797.606839,1.0,0.3,1.0,1.0,0.21,0.03
12,53.8988,0.3,0.8,30,100,0.9755,0.984,59183.293956,54876.729391,1.0,0.4,1.0,1.0,0.36,0.03
12,54.2412,0.3,0.8,30,100,0.97525,0.9895,46697.190773,42188.048426,1.0,0.5,1.0,1.0,0.58,0.02
12,54.3931,0.3,0.8,30,100,0.97525,0.9825,37770.019619,34110.190584,1.0,0.6,1.0,1.0,0.3,0.01
12,54.2134,0.3,0.8,30,100,0.97525,0.9855,32258.85491,29965.769692,1.0,0.7,1.0,1.0,0.42,0.01
12,53.986,0.3,0.8,30,100,0.9755,0.98175,21974.688682,26539.924557,1.0,0.8,1.0,1.0,0.27,0.02
12,53.9517,0.3,0.8,30,100,0.97525,0.97875,19015.522774,17398.551123,1.0,0.9,1.0,1.0,0.15,0.02
