streams,time(ms),damping_factor,threshold,epochs,K,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,rimr_dist,ic_dist,lt_dist,speedup_LT,speedup_IC
6,115.917,0.3,0.4,2,150,0.3879390536304719,0.0005587466881978,138771.127984,91186.840331,1.0,0.5,0.6467247312950336,0.2192190440519573,0.0,0.0333333333333333,4.233610511324482,11.156578094620867,3.5552774301209844,1197.1594156508536,786.6563172873693
8,146.851,0.3,0.4,2,150,0.38705488304695,0.6359059217938838,137237.946352,92040.874792,1.0,0.5,0.6469887544553908,0.211918496664405,0.0066666666666666,0.0333333333333333,4.231032542436463,10.850274090218612,3.679122340425532,934.5387253202224,626.763691033769
10,175.25,0.3,0.4,2,150,0.3956018653543283,0.6359059217938838,138053.787363,91484.630891,1.0,0.5,0.6428165745143969,0.2106751317813274,0.0066666666666666,0.04,3.8499555555555554,11.215623987034036,3.5336584044426385,787.7534228987162,522.0235714179743
