streams,blocks,time(ms),damping_factor,threshold,epochs,K,steps,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,speedup_LT,speedup_IC,rimr_dist,ic_dist,lt_dist,percent_LT_RAND,percent_IC_RAND,LT_threshold,IC_threshold,dir
10,1,135930.0,0.3,0.5,1375,50,200,0.3734024296270826,0.0003929647037875,76073.863976,57388.167752,1.0,0.5,0.7124818484077254,0.2720206060866548,0.0,0.06,0.5596547044508202,0.4221891249319502,11.63151587777112,10.863523914238591,3.2569951338199514,0.639709697325077,0.2422995803259765,0.1,0.5,csr
10,2,75017.7,0.3,0.5,1375,50,200,0.3664856368330729,0.0003070036748339,74829.851457,56640.166,1.0,0.5,0.676436546945467,0.259593097329375,0.0,0.06,0.9974959437172828,0.7550240276628049,11.165202108963094,10.865101809954751,3.0523132748714845,0.6430898077849991,0.224401266083155,0.1,0.5,csr
10,3,56352.0,0.3,0.5,1375,50,200,0.3623165269288273,0.0003070036748339,74823.195967,56696.699067,1.0,0.5,0.6652585431447614,0.2563910490008565,0.0,0.04,1.3277824383695345,1.0061168914501704,11.005263157894737,10.978260869565217,3.2213064713064714,0.6464085175099545,0.2598970309674607,0.1,0.5,csr
10,4,43222.0,0.3,0.5,1375,50,200,0.3753979535135036,0.0003929647037875,75001.749744,56889.05079,1.0,0.5,0.6745361941982445,0.2459099435420242,0.0,0.02,1.7352679131923558,1.3162058856600805,10.18416801292407,10.604605722260992,3.2884615384615383,0.6419845945555969,0.2608610225064394,0.1,0.5,csr
10,5,36305.4,0.3,0.5,1375,50,200,0.3687421138431027,0.0003929647037875,74478.221164,57128.292841,1.0,0.5,0.6629775058407449,0.2527684056378155,0.0,0.02,2.051436457496681,1.5735480903942665,10.005285412262156,10.767026194144838,3.285757031717534,0.6385093129564761,0.2638880787403025,0.1,0.5,csr
10,6,36461.3,0.3,0.5,1375,50,200,0.3615060372272656,0.0003192838218273,75465.920394,56164.150665,1.0,0.5,0.6659677216336279,0.2357542619785158,0.0,0.03,2.069753969112456,1.5403770755568231,9.693084693084693,10.60934769947583,2.995505617977528,0.6453677750522674,0.2411605966923424,0.1,0.5,csr
10,7,33102.8,0.3,0.5,1375,50,200,0.3609964111270412,0.0003070036748339,75013.325876,55707.146004,1.0,0.5,0.6684943618775117,0.2604404274719168,0.0,0.03,2.2660719297461243,1.6828529914085817,10.14987298899238,10.89988204069596,3.0347585358351274,0.6507894599498356,0.2261235566989737,0.1,0.5,csr
10,8,28024.8,0.3,0.5,1375,50,200,0.3621507449444169,0.0003070036748339,75095.169045,55934.153287,1.0,0.5,0.6582404391380565,0.2420570474228576,0.0,0.02,2.6795969657232166,1.9958805517612968,9.847298355520753,11.022697512003491,3.2542735042735043,0.6486711345934811,0.2663256879184844,0.1,0.5,csr
10,9,25594.7,0.3,0.5,1375,50,200,0.3702525719232859,0.0003070036748339,76738.144711,55751.902595,1.0,0.5,0.667376868501116,0.2448661310475886,0.0,0.03,2.9982044997987862,2.17825966293803,10.364976958525345,10.792608110130182,3.001573811772112,0.6451375222961419,0.2329635985742749,0.1,0.5,csr
10,10,23649.6,0.3,0.5,1375,50,200,0.3664088859143644,0.0003070036748339,75349.970125,56852.509515,1.0,0.5,0.6826410912138619,0.2069941577200679,0.0,0.01,3.186099135926189,2.403952266211691,10.401453957996768,10.91168978205491,3.036099969145325,0.6452695338763205,0.2361656469027934,0.1,0.5,csr
10,11,23434.9,0.3,0.5,1375,50,200,0.3729511342250767,0.0003070036748339,75036.52246,56324.810788,1.0,0.5,0.7021665249333034,0.2311614870029994,0.0,0.01,3.201913490563219,2.403458550623216,9.807807807807809,10.81755059831585,2.773690773067332,0.6400903818818712,0.1912295190173426,0.1,0.5,csr
10,12,23905.1,0.3,0.5,1375,50,200,0.3685057210134805,0.0003070036748339,75991.972667,56385.103689,1.0,0.5,0.6648532982939805,0.24865455639504,0.0,0.01,3.178902103191369,2.358706037163618,10.70152505446623,10.907105416423995,2.772394881170018,0.6411741048540351,0.2307255417847351,0.1,0.5,csr
10,13,22260.0,0.3,0.5,1375,50,200,0.3652975326114653,0.0003192838218273,74529.57966,57103.777257,1.0,0.5,0.6728722342806444,0.2254235883203522,0.0,0.02,3.3481392479784367,2.565308951347709,9.343682310469314,10.56814210832848,3.026276049531864,0.6457607397560549,0.2650239923371882,0.1,0.5,csr
10,14,21688.8,0.3,0.5,1375,50,200,0.376991302585892,0.0003929647037875,76219.332691,57393.411334,1.0,0.5,0.6534542518473946,0.2544845561801375,0.0,0.01,3.514225438521265,2.646223457913762,11.11167086481948,10.906674208144796,3.236190476190476,0.6426293022727482,0.2354840987446619,0.1,0.5,csr
10,15,21683.9,0.3,0.5,1375,50,200,0.3608429092896242,0.0003070036748339,76526.272434,56360.013266,1.0,0.5,0.6666062892772826,0.2976584829720411,0.0,0.05,3.529174753342341,2.599164046412315,10.047941342357586,10.76749922910885,3.056206792906522,0.645951082034452,0.2554669679396062,0.1,0.5,csr
10,16,20896.1,0.3,0.5,1375,50,200,0.3665746678987747,0.0003929647037875,75100.493182,56430.193119,1.0,0.5,0.6689517973530144,0.2717412327425559,0.0,0.02,3.593995682543633,2.700513163652548,10.41902687000726,10.487186953989516,3.278966131907308,0.6428534149553771,0.1898664227010797,0.1,0.5,csr
