streams,time(ms),damping_factor,threshold,epochs,K,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,rimr_dist,ic_dist,lt_dist,speedup_LT,speedup_IC
6,259.258,0.3,0.4,2,150,0.3988192638665885,0.000469715622496,138460.670328,91838.621951,1.0,0.5,0.6478913452594027,0.2427877161689625,0.0,0.0666666666666666,5.409626670612023,11.26571994715984,3.387001078748652,534.0651795817295,354.23640524496835
8,435.081,0.3,0.4,2,150,0.3786828928342272,0.6359059217938838,137237.946352,92040.874792,1.0,0.5,0.647694862907509,0.2033285338425501,0.0066666666666666,0.04,5.186051032806804,10.850274090218612,3.679122340425532,315.4307964539936,211.54882606227343
10,537.074,0.3,0.4,2,150,0.3850961996015092,0.6359059217938838,138053.787363,91484.630891,1.0,0.5,0.6431205081524826,0.2153477277123007,0.0066666666666666,0.0466666666666666,4.762201989862962,11.215623987034036,3.5336584044426385,257.0479810286851,170.33896798392772
