streams,time(ms),damping_factor,threshold,epochs,K,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,rimr_dist,ic_dist,lt_dist,speedup_LT,speedup_IC
6,3074.37,0.3,0.3,30,150,0.3991047772841841,0.0005464665412044,136314.558086,92075.596067,1.0,0.5,0.6473663689754366,0.2371541987357588,0.0,0.0866666666666666,5.232070138456379,10.872455722971187,3.390026954177898,44.33902168118997,29.94941925239968
8,5886.54,0.3,0.3,30,150,0.3943492903610056,0.6359059217938838,137237.946352,92040.874792,1.0,0.5,0.6475106607026087,0.2228232671945083,0.0066666666666666,0.0466666666666666,4.9143987647172365,10.850274090218612,3.679122340425532,23.31385607708433,15.635819138577162
10,7472.06,0.3,0.3,30,150,0.405634745447903,0.6359059217938838,138053.787363,91484.630891,1.0,0.5,0.6434490020845549,0.2428399067936843,0.0066666666666666,0.0533333333333333,4.489393654965271,11.215623987034036,3.5336584044426385,18.476000910458428,12.243562135609189
