streams,time(ms),damping_factor,threshold,epochs,K,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,rimr_dist,ic_dist,lt_dist,speedup_LT,speedup_IC
6,528.06,0.3,0.3,30,150,0.3845466630235564,0.0005464665412044,138589.425202,90158.390768,1.0,0.5,0.6427091232282051,0.2185374958938258,0.0,0.04,6.473822222222222,11.1656092615606,3.5687645687645686,262.4501480930198,170.73512625080485
8,867.962,0.3,0.3,30,150,0.3848444565881453,0.6359059217938838,137237.946352,92040.874792,1.0,0.5,0.6418126724976898,0.2300225033693653,0.0066666666666666,0.0266666666666666,6.600533333333333,10.850274090218612,3.679122340425532,158.1151552164726,106.04251659865294
10,1117.31,0.3,0.3,30,150,0.3930936453309346,0.6359059217938838,138053.787363,91484.630891,1.0,0.5,0.6443822932560502,0.2337096175041215,0.0066666666666666,0.0333333333333333,6.552844444444444,11.215623987034036,3.5336584044426385,123.55907256088284,81.87936283663441
