streams,time(ms),damping_factor,threshold,epochs,K,steps,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,speedup_LT,speedup_IC,rimr_dist,ic_dist,lt_dist,percent_LT_RAND,percent_IC_RAND,LT_threshold,IC_threshold,dir
10,45479.3,0.3,0.5,4125,150,200,0.3883627187017429,0.0004605055122509,110664.749152,80740.463131,1.0,0.5,0.7098231965836631,0.2830665983071817,0.0,0.04,2.4332993065416573,1.7753233477867951,10.630572730231044,10.984743321110528,3.24845062663545,0.0263654755947428,0.2768497738917935,0.1,0.5,csr
10,60704.3,0.3,0.5,5500,200,200,0.3971860043164716,0.6361269644397644,128800.299221,107006.963746,1.0,0.5,0.6813547458163074,0.256295877861658,0.0,0.005,2.121765661098143,1.7627575599422114,9.20257424573419,11.399041533546326,3.960800730704826,0.6481615084932567,0.250822002339368,0.1,0.5,csr
10,75949.7,0.3,0.5,6875,250,200,0.415326851462412,0.6372751581836434,167805.553126,129539.112817,1.0,0.5,0.7244795520202377,0.2635810750654685,0.0,0.012,2.20943009815707,1.7055908425839734,9.490940994042276,11.272145599317502,4.375609515835098,0.6567484012783633,0.2953590254475346,0.1,0.5,csr
10,75922.6,0.3,0.5,6875,250,200,0.4157689367541729,0.009268440943238,167496.570561,131012.539754,1.0,0.5,0.7258579985202422,0.2684409432380905,0.0,0.044,2.206149032843975,1.7256066013808795,10.022875955819881,11.707299837467318,4.174016628579763,0.6585689330701289,0.2584633238059859,0.1,0.5,csr
