streams,time(ms),damping_factor,threshold,epochs,K,percent_LT,percent_IC
12,36.7188,0.1,0.8,30,100,0.7836703548264021,0.5965280427317817
12,37.3927,0.15,0.8,30,100,0.7922548645555132,0.6003433803891645
12,36.7205,0.2,0.8,30,100,0.7930179320869897,0.6058756199923693
12,36.8614,0.25,0.8,30,100,0.7974055703929798,0.6024418161007249
12,36.8797,0.3,0.8,30,100,0.7926363983212514,0.6209462037390309
12,36.948,0.35,0.8,30,100,0.7958794353300267,0.6007249141549027
12,40.103,0.4,0.8,30,100,0.789202594429607,0.6098817245326211
12,39.2496,0.45,0.8,30,100,0.7909194963754292,0.5974818771461274
12,38.9091,0.5,0.8,30,100,0.7935902327355971,0.6066386875238459
12,38.9124,0.55,0.8,30,100,0.7911102632582984,0.6072109881724532
12,39.2658,0.6,0.8,30,100,0.7880579931323922,0.5976726440289966
12,39.0311,0.65,0.8,30,100,0.7985501716901946,0.5898512018313621
12,38.9199,0.7,0.8,30,100,0.7884395268981305,0.605494086226631
12,38.9076,0.75,0.8,30,100,0.7913010301411675,0.6075925219381916
12,38.9987,0.8,0.8,30,100,0.7916825639069057,0.5982449446776039
12,39.2783,0.85,0.8,30,100,0.7901564288439527,0.6112170927127051
12,38.9523,0.9,0.8,30,100,0.7869133918351774,0.6045402518122854
12,39.7964,0.95,0.8,30,100,0.7869133918351774,0.5940480732544831
12,38.9859,1.0,0.8,30,100,0.789202594429607,0.5867989317054559
12,38.2177,0.0,0.8,30,100,0.7851964898893552,0.5961465089660435
12,34.3992,0.0,0.8,30,100,0.7930179320869897,0.6165585654330408
4,34.2573,0.0,0.8,30,100,0.7914917970240366,0.5908050362457078
12,34.3459,0.3,0.1,30,100,0.7989317054559328,0.6150324303700877
12,34.5038,0.3,0.2,30,100,0.7903471957268218,0.6157954979015643
