streams,time(ms),damping_factor,threshold,epochs,K,steps,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,speedup_LT,speedup_IC,rimr_dist,ic_dist,lt_dist,percent_LT_RAND,percent_IC_RAND,LT_threshold,IC_threshold,dir
10,1715.78,0.3,0.5,325,50,200,0.4159385337181565,0.6279075897152044,42499.120739,26294.473434,1.0,0.5,0.6280261996072695,0.4126306356172327,0.0,0.0,24.76956296203476,15.3250844712026,4.006965174129353,5.542190305206463,2.779430514237144,0.6282502405145034,0.0,0.1,0.5,csr
10,3303.84,0.3,0.5,650,100,200,0.4160176069795332,0.62809209399175,72492.38565,48698.112591,1.0,0.5,0.6284215659141528,0.4142516374754543,0.01,0.0,21.94185724792968,14.739851987687054,4.2513950493632855,5.81580059146599,3.4057713651498336,0.6285269969293217,0.0,0.1,0.5,csr
10,4872.65,0.3,0.5,975,150,200,0.4163734366557282,0.628922363236205,86222.213179,67682.456788,1.0,0.5,0.6295681282041145,0.4154904519036888,0.0,0.0,17.695137795450115,13.890276705283572,4.953037916857013,5.917733089579524,3.5283500766218285,0.6291332252665428,0.0,0.1,0.5,csr
10,6455.56,0.3,0.5,1300,200,200,0.4191805374345998,0.6284742814217372,121328.684124,87585.545442,1.0,0.5,0.631057341293375,0.4171378115157026,0.005,0.01,18.794447596180657,13.56745897211086,5.965703310773733,5.875211267605634,3.564432308640888,0.6293309084199844,0.0,0.1,0.5,csr
10,8034.47,0.3,0.5,1625,250,200,0.4203666363552498,0.6289487209899972,159890.718878,105568.085566,1.0,0.5,0.6314263498464661,0.4177967553605082,0.004,0.004,19.900593178890457,13.139396321848237,5.959013105108318,5.773795996853422,3.74122133060156,0.6294495183120494,0.0,0.1,0.5,csr
10,9614.59,0.3,0.5,1950,300,200,0.4198526601563014,0.6295417704503222,146317.276468,123804.469605,1.0,0.5,0.6322170824602328,0.4194045783418337,0.0033333333333333,0.0166666666666666,15.218254389214724,12.87672897180223,5.741178994029958,5.751327944572748,3.843796742277661,0.6299371367572055,0.0,0.1,0.5,csr
10,11263.0,0.3,0.5,2275,350,200,0.4177703976067159,0.6292913717892961,174448.81785,140911.295669,1.0,0.5,0.6322039035833367,0.4223302890127703,0.0,0.0085714285714285,15.488663575423956,12.510991358341473,5.824747231584015,5.897924288213774,3.7578098889216554,0.6301743565413356,0.0,0.1,0.5,csr
