streams,time(ms),damping_factor,threshold,epochs,K,steps,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,speedup_LT,speedup_IC,percent_LT_RAND,percent_IC_RAND,LT_threshold,IC_threshold,dir,rimr_dist,ic_dist,lt_dist
10,5953.7,0.3,0.2,30,150,100,0.3198492241836473,0.9924879154251444,131755.140112,70033.878956,1.0,0.5,0.99219033157708,0.2945965640511081,0.0133333333333333,0.0,22.129959539781986,11.76308496497976,0.9924879154251444,0.3107652864626055,0.1,0.5,csc,10.209410646387832,22.65678139028704,18.46264409395649
10,5116.0,0.3,0.4,30,150,150,0.3123066181884774,0.9923849056315835,128886.190938,70420.708274,1.0,0.5,0.9919881271674976,0.255723720103315,0.0066666666666666,0.0,25.19276601602815,13.764798333463643,0.9924230574069764,0.3083655397903941,0.1,0.5,csr,8.546888005178952,23.0101120029021,18.66000297633812
20,8253.29,0.3,0.4,30,150,150,0.3230005608310983,0.992377275276505,130484.710893,68953.624799,1.0,0.5,0.9919881271674976,0.2666694644635288,0.0133333333333333,0.0,15.810023747257151,8.354683380688185,0.9924612091823694,0.2994761761238559,0.1,0.5,csr,9.389161882893228,22.3555535537339,18.46611869465238
30,9520.28,0.3,0.4,30,150,150,0.3221268851746016,0.992499360957762,129341.01923,69094.896201,1.0,0.5,0.9920110182327334,0.2673981633735325,0.0,0.0,13.585841932170062,7.2576537875986835,0.9923009717257192,0.2967330634731087,0.1,0.5,csr,10.138432157995249,22.09945049995496,18.61991199119912
40,15570.9,0.3,0.4,30,150,150,0.3136953428127778,0.9923849056315835,130056.930181,68338.418852,1.0,0.5,0.99203009412043,0.2850776960905876,0.0066666666666666,0.0,8.352563447263806,4.388854777308954,0.9930182251031052,0.3044893194104787,0.1,0.5,csr,10.059351244156948,22.56314746419241,18.15
40,98574.1,0.3,0.5,30,150,1000,0.3143477381719958,0.992484100247605,127962.411299,70034.674532,1.0,0.5,0.99203009412043,0.2778631953637963,0.0133333333333333,0.0,1.298134208671446,0.710477443182337,0.9926786743021088,0.3041154320116286,0.1,0.5,csr,9.470756397038148,22.54310422484461,18.50635718509757
40,96756.8,0.3,0.0,30,150,1000,0.31538546646268184,0.9924993609577621,115797.835907,53365.186108,1.0,0.5,0.0004234847068608,0.0004234847068608,0.0,0.0,1.1967927412543615,0.5515393864617267,0.9925298823780764,0.3067746107565116,0.1,0.5,csr,7.51803810295906,22.708245716075343,18.487904401049256
