streams,blocks,time(ms),damping_factor,threshold,epochs,K,steps,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,speedup_LT,speedup_IC,rimr_dist,ic_dist,lt_dist,percent_LT_RAND,percent_IC_RAND,LT_threshold,IC_threshold,dir
10,436,4968.62,0.3,0.5,1100,50,200,0.3061412912849899,0.992285711015562,37965.213462,19710.996044,1.0,0.5,0.9922666351278656,0.2909149177256964,0.0,0.0,7.640997593295522,3.9670967077377615,19.804878048780488,21.7736,17.45844385499558,0.9923696449214264,0.3013570586507243,0.1,0.5,csr
10,436,9930.04,0.3,0.5,2200,100,200,0.3094452350340123,0.9923353083235728,70943.356522,34492.967781,1.0,0.5,0.9922780806604836,0.3019445959917745,0.0,0.0,7.144317296002836,3.4735980701991127,21.494771863117872,23.295828704171296,18.20774368844108,0.9926901198347264,0.3045846988489609,0.1,0.5,csr
10,436,14833.7,0.3,0.5,3300,150,200,0.3232485473711519,0.9924879154251444,114732.497963,51275.806438,1.0,0.5,0.9924917306026836,0.3001972446787811,0.0,0.0,7.734583951610185,3.456710492864221,21.823947206532072,23.07454768058768,18.375295422756,0.992575664508548,0.3091896181388801,0.1,0.5,csr
10,436,19759.0,0.3,0.5,4400,200,200,0.3298030223836466,0.9925947403962444,122737.850253,72772.885588,1.0,0.5,0.99251080649038,0.3065800367020079,0.005,0.005,6.211744028189686,3.6830247273647454,19.682331805873776,22.43514453214222,18.7854358859322,0.9929190304870836,0.3085906352652121,0.1,0.5,csr
10,436,24701.0,0.3,0.5,5500,250,200,0.3407220605010854,0.9923849056315835,165788.573972,90399.718813,1.0,0.5,0.9924230574069764,0.3092621065121265,0.0,0.0,6.711816281608033,3.65975947585118,18.946965690487207,22.36254552549428,18.96868728807695,0.99272445643258,0.3030548126557069,0.1,0.5,csr
10,436,29881.3,0.3,0.5,6600,300,200,0.3426792465787395,0.9928503572913766,185023.881216,104652.667604,1.0,0.5,0.9929953340378694,0.3116351469415629,0.0033333333333333,0.0,6.191962237787513,3.502279606442825,21.437081945369755,22.363784776545813,19.214523560852736,0.9927091957224228,0.3067860562891294,0.1,0.5,csr
10,436,35006.8,0.3,0.5,7700,350,200,0.3468110838537871,0.9928350965812194,250968.49796,124776.386061,1.0,0.5,0.9933730366142588,0.3116694835394165,0.0085714285714285,0.0,7.169135652501799,3.564347100020567,21.507931694360497,22.42680755566965,19.066714978833968,0.993029670635723,0.3168390491051501,0.1,0.5,csr
