streams,blocks,time(ms),damping_factor,threshold,epochs,K,steps,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over,speedup_LT,speedup_IC,rimr_dist,ic_dist,lt_dist,percent_LT_RAND,percent_IC_RAND,LT_threshold,IC_threshold,dir
10,1,59300.6,0.3,0.5,1100,50,200,0.3136075937293742,0.9922933413706408,39673.601351,19522.398932,1.0,0.5,0.992232298530012,0.29619130826253,0.0,0.0,0.6690252940273791,0.3292108162817914,20.39943074003795,22.8248,17.641083521444695,0.9923200476134156,0.2950047880478118,0.1,0.5,csr
10,2,31580.7,0.3,0.5,1100,50,200,0.3106699070241234,0.992285711015562,38829.708939,20845.746576,1.0,0.5,0.992285711015562,0.2959547672550942,0.0,0.0,1.2295392103088276,0.6600786738736001,21.07074652777778,22.8148,17.692749778956674,0.9924230574069764,0.2941654489891687,0.1,0.5,csr
10,3,22473.2,0.3,0.5,1100,50,200,0.3013608738282636,0.992270450305405,39832.165349,21321.886086,1.0,0.5,0.9923200476134156,0.2930895689230898,0.0,0.0,1.7724296205702794,0.948769471459338,19.168631006346327,22.2496,17.74156219864995,0.9923467538561906,0.2944821087249295,0.1,0.5,csr
10,4,17875.8,0.3,0.5,1100,50,200,0.3002201357440168,0.9923314931460336,39584.821865,23131.424353,1.0,0.5,0.9925260672005372,0.2903846080477355,0.0,0.0,2.2144363813088086,1.2940077844348226,20.88905472636816,23.79436964504284,17.41611332447986,0.992362014566348,0.2996097073377309,0.1,0.5,csr
10,5,15088.3,0.3,0.5,1100,50,200,0.3098572742082552,0.9922590047727872,39210.071656,19468.41969,1.0,0.5,0.9923276779684944,0.2828839690054976,0.0,0.0,2.59870705487033,1.2902990853840393,21.692569208353568,23.31497348021216,16.95395033860045,0.9922780806604836,0.2939022017389579,0.1,0.5,csr
10,6,13187.5,0.3,0.5,1100,50,200,0.3001857991461633,0.9923353083235728,39355.44724,20614.672435,1.0,0.5,0.992377275276505,0.2842993998725731,0.0,0.0,2.984299316777251,1.5631979097630333,22.33816425120773,22.9088,17.53713527851459,0.9922551895952478,0.298945866445895,0.1,0.5,csr
10,7,11803.2,0.3,0.5,1100,50,200,0.3131841090225133,0.99224374406263,38996.855774,19085.173109,1.0,0.5,0.9922933413706408,0.2835516250748728,0.0,0.0,3.303922307001492,1.6169490569506573,23.104189636163174,23.17992656058752,16.98585322723254,0.9922895261931014,0.2910370034069535,0.1,0.5,csr
10,8,10800.4,0.3,0.5,1100,50,200,0.3095558751826516,0.9923200476134156,39545.062168,19356.593778,1.0,0.5,0.9922742654829444,0.299411318105688,0.0,0.0,3.661444221325136,1.792210823488019,21.900220507166484,23.3796,17.741760722347628,0.9922475592401692,0.2956342923417941,0.1,0.5,csr
10,9,9970.36,0.3,0.5,1100,50,200,0.2975800328868304,0.99224374406263,39206.791046,19759.875548,1.0,0.5,0.9922895261931014,0.278565188031025,0.0,0.0,3.932334544188976,1.981861793154911,21.881276150627617,23.5196,17.25487646293888,0.9926634135919516,0.2930895689230898,0.1,0.5,csr
10,10,9360.32,0.3,0.5,1100,50,200,0.3150878826146174,0.99224374406263,39578.845169,20189.134918,1.0,0.5,0.9923047869032584,0.2979729961733769,0.0,0.0,4.228364539780691,2.1568851190984923,21.132867132867133,22.1868,18.35366430260047,0.9923200476134156,0.2960425163384978,0.1,0.5,csr
10,11,8876.72,0.3,0.5,1100,50,200,0.299438024348463,0.99224374406263,39229.347708,18628.343987,1.0,0.5,0.992308602080798,0.2900641331344354,0.0,0.0,4.419351709640498,2.09856162940816,21.669448307834955,22.4268,17.638815207780723,0.9924192422294372,0.3002735482295668,0.1,0.5,csr
10,12,8437.87,0.3,0.5,1100,50,200,0.3089683378416014,0.992270450305405,39183.01006,19866.613978,1.0,0.5,0.992499360957762,0.2909759605663249,0.0,0.0,4.643708668182847,2.3544584092904963,21.1135611907387,23.83639330885353,17.2722143864598,0.9923047869032584,0.2962332752154621,0.1,0.5,csr
10,13,8045.24,0.3,0.5,1100,50,200,0.2988047048769414,0.992270450305405,39508.554355,19479.93414,1.0,0.5,0.9923810904540444,0.2929941894846076,0.0,0.0,4.910798727570588,2.42129931984627,20.828358208955223,22.18609492089925,17.7372460496614,0.992468839537448,0.2924257280312539,0.1,0.5,csr
10,14,7768.45,0.3,0.5,1100,50,200,0.2946690524243546,0.9923581993888084,38767.135702,19886.261953,1.0,0.5,0.9923887208091228,0.2908920266604606,0.0,0.0,4.990330851328128,2.559875129916521,19.399905123339657,24.197878416972664,17.674624226348364,0.9929152153095444,0.2889081343400315,0.1,0.5,csr
10,15,7471.38,0.3,0.5,1100,50,200,0.2966147929693908,0.992270450305405,39445.011306,21269.83908,1.0,0.5,0.9923887208091228,0.2862298797074522,0.0,0.0,5.279481341599544,2.8468420934285232,20.403365629780723,22.27,17.386747509744477,0.9929419215523194,0.292093807585336,0.1,0.5,csr
10,16,7238.83,0.3,0.5,1100,50,200,0.3070798249596545,0.992323862790955,39541.324911,18911.449432,1.0,0.5,0.9921979619321584,0.2997279778414488,0.0,0.0,5.462391700178068,2.612500836737429,19.50364254492472,23.1016,16.641272902603664,0.9923276779684944,0.2980035175936912,0.1,0.5,csr
