streams,time(ms),damping_factor,threshold,epochs,K,percent_IC_CU,percent_LT_CU,time_cu_lt,time_cu_ic,l,eps,percent_LT_RIMR,percent_IC_RIMR,percent_LT_over,percent_IC_over
12,62.7686,0.3,0.8,30,100,0.3218552354181307,0.0272663387210119,625042.838809,625042.838809,1.0,0.1,0.3255094869992972,0.3146872803935348,0.02,0.02
12,62.6938,0.3,0.8,30,100,0.3257905832747716,0.0181307097680955,192154.232252,192154.232252,1.0,0.2,0.3255094869992972,0.3159522136331694,0.01,0.01
12,62.3754,0.3,0.8,30,100,0.3252283907238229,0.0196767392832044,103294.23653,103294.23653,1.0,0.3,0.3255094869992972,0.31243851018974,0.01,0.01
12,62.6628,0.3,0.8,30,100,0.3241040056219255,0.0199578355586788,69043.403778,69043.403778,1.0,0.4,0.3255094869992972,0.3141250878425861,0.0,0.0
12,62.2885,0.3,0.8,30,100,0.3226985242445537,0.0150386507378777,52353.778536,52353.778536,1.0,0.5,0.3255094869992972,0.3134223471539002,0.02,0.02
12,62.5502,0.3,0.8,30,100,0.3225579761068166,0.0248770203794799,42984.958895,42984.958895,1.0,0.6,0.3255094869992972,0.3148278285312719,0.02,0.02
12,62.2198,0.3,0.8,30,100,0.3249472944483486,0.0171468728039353,27428.877766,27428.877766,1.0,0.7,0.3255094869992972,0.3172171468728039,0.0,0.0
12,62.7151,0.3,0.8,30,100,0.324525650035137,0.0286718200983836,24341.368214,24341.368214,1.0,0.8,0.3255094869992972,0.3160927617709065,0.02,0.02
12,62.7102,0.3,0.8,30,100,0.3243851018973999,0.33605059732958537,22201.490772,22201.490772,1.0,0.9,0.3255094869992972,0.3142656359803232,0.03,0.03
